=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     bodyPerformance
Instances:    10745
Attributes:   12
              age
              gender
              height_cm
              weight_kg
              body fat_%
              diastolic
              systolic
              gripForce
              sit and bend forward_cm
              sit-ups counts
              broad jump_cm
              class
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities
Attribute mappings:

Model attributes                   	    Incoming attributes
-----------------------------------	    ----------------
(numeric) age                      	--> 1 (numeric) age
(nominal) gender                   	--> 2 (nominal) gender
(numeric) height_cm                	--> 3 (numeric) height_cm
(numeric) weight_kg                	--> 4 (numeric) weight_kg
(numeric) body fat_%               	--> 5 (numeric) body fat_%
(numeric) diastolic                	--> 6 (numeric) diastolic
(numeric) systolic                 	--> 7 (numeric) systolic
(numeric) gripForce                	--> 8 (numeric) gripForce
(numeric) sit and bend forward_cm  	--> 9 (numeric) sit and bend forward_cm
(numeric) sit-ups counts           	--> 10 (numeric) sit-ups counts
(numeric) broad jump_cm            	--> 11 (numeric) broad jump_cm
(nominal) class                    	--> 12 (nominal) class


Time taken to build model: 4.7 seconds

=== Predictions on test set ===

    inst#     actual  predicted      error
      162     74.6       71.442     -3.158 
      163     47.8       51.092      3.292 
      164     61.2       56.157     -5.043 
      165     77.4       80.596      3.196 
      166     52         55.469      3.469 
      167     67.4       68.199      0.799 
      168     70.96      68.842     -2.118 
      169     55.5       54.603     -0.897 
      170     86.7       81.131     -5.569 
      171     53.5       56.631      3.131 
      172     68.1       73.274      5.174 
      173     73.7       75.356      1.656 
      174     47.32      55.666      8.346 
      175     76         75.387     -0.613 
      176     78.4       66.87     -11.53  
      177     73.7       73.217     -0.483 
      178     89         91.099      2.099 
      179     65.3       66.281      0.981 
      180     57.3       50.491     -6.809 
      181     72.7       72.073     -0.627 
      182     57.7       56.28      -1.42  
      183     79.2       72.576     -6.624 
      184     64.8       70.614      5.814 
      185     48.5       50.784      2.284 
      186     53.6       56.65       3.05  
      187     68         73.429      5.429 
      188     79.4       71.567     -7.833 
      189     90.7       96.793      6.093 
      190     57.4       55.304     -2.096 
      191     44.3       50.685      6.385 
      192     75.2       75.239      0.039 
      193     68.2       71.929      3.729 
      194     62.1       64.396      2.296 
      195     78.6       77.272     -1.328 
      196     71.9       70.036     -1.864 
      197     68.3       75.473      7.173 
      198     76.8       77.35       0.55  
      199     61         56.533     -4.467 
      200     71.8       81.964     10.164 
      201     70.6       62.406     -8.194 
      202     50.2       52.286      2.086 
      203     54.7       63.437      8.737 
      204     66.3       72.651      6.351 
      205     54.38      55.232      0.852 
      206     82         78.715     -3.285 
      207     60.5       60.407     -0.093 
      208     77         81.376      4.376 
      209     74.4       71.778     -2.622 
      210     60.5       69.226      8.726 
      211     78.2       71.769     -6.431 
      212     68.5       74.47       5.97  
      213     57.9       52.586     -5.314 
      214     79.6       74.753     -4.847 
      215     58.4       53.054     -5.346 
      216     63.1       68.046      4.946 
      217     79.1       79.597      0.497 
      218     67.9       70.809      2.909 
      219     66.6       66.311     -0.289 
      220     69.3       73.728      4.428 
      221     56.6       66.334      9.734 
      222     54.6       56.149      1.549 
      223     58.8       57.099     -1.701 
      224     51.5       53.29       1.79  
      225     75         82.055      7.055 
      226     46.5       45.054     -1.446 
      227     77         74.237     -2.763 
      228     46.2       44.72      -1.48  
      229     68.1       72.373      4.273 
      230     61.2       58.664     -2.536 
      231     76.6       74.485     -2.115 
      232     65.1       72.091      6.991 
      233     74.6       81.49       6.89  
      234     64.7       64.431     -0.269 
      235     79.3       77.767     -1.533 
      236     44.8       48.5        3.7   
      237     50         57.788      7.788 
      238     78.6       74.013     -4.587 
      239     70.5       69.961     -0.539 
      240     66.3       68.051      1.751 
      241     78.7       81.272      2.572 
      242     52.8       55.06       2.26  
      243     54.9       53.502     -1.398 
      244     69.84      62.328     -7.512 
      245     74.9       65.713     -9.187 
      246     63.1       58.884     -4.216 
      247     78.3       76.356     -1.944 
      248     77.4       77.459      0.059 
      249     45.1       48.837      3.737 
      250     55.1       55.648      0.548 
      251     80.2       71.842     -8.358 
      252     68.1       67.315     -0.785 
      253     68.4       70.518      2.118 
      254     81.3       77.337     -3.963 
      255     56.88      53.152     -3.728 
      256     84         75.599     -8.401 
      257     79.5       80.114      0.614 
      258     72.2       73.735      1.535 
      259     55.1       54.746     -0.354 
      260     61.2       58.91      -2.29  
      261     76.92      74.076     -2.844 
      262     55.2       54.461     -0.739 
      263     86.12      84.167     -1.953 
      264     83.5       84.816      1.316 
      265     63.6       63.822      0.222 
      266     85.8       85.737     -0.063 
      267     72.5       69.29      -3.21  
      268     81.5       75.785     -5.715 
      269     59.9       66.408      6.508 
      270     55.3       50.536     -4.764 
      271     58.8       64.28       5.48  
      272     68.6       74.285      5.685 
      273     94.9       91.157     -3.743 
      274     55.1       58.056      2.956 
      275     70.7       66.666     -4.034 
      276     72.7       72.548     -0.152 
      277     80.6       80.616      0.016 
      278     55.9       55.433     -0.467 
      279     70.9       68.242     -2.658 
      280     59.8       69.492      9.692 
      281     71.5       75.884      4.384 
      282     62.4       68.83       6.43  
      283     79.9       83.866      3.966 
      284     50.9       49.729     -1.171 
      285     68.9       65.834     -3.066 
      286    109.7       91.384    -18.316 
      287     59.8       62.517      2.717 
      288     60.4       58.329     -2.071 
      289     72.4       74.612      2.212 
      290     57.7       60.699      2.999 
      291     56.3       61.734      5.434 
      292     74         65.46      -8.54  
      293    109.2       84.44     -24.76  
      294     48.8       58.55       9.75  
      295     72.4       72.57       0.17  
      296     84.1       74.332     -9.768 
      297     71.6       69.108     -2.492 
      298     69.1       70.498      1.398 
      299     54.4       57.082      2.682 
      300     46.2       53.144      6.944 
      301     58.6       59.158      0.558 
      302     83.02      77.206     -5.814 
      303     75.9       75.396     -0.504 
      304     69.5       71.78       2.28  
      305     80.8       73.13      -7.67  
      306     67.7       64.777     -2.923 
      307     68.8       65.75      -3.05  
      308     64.7       68.54       3.84  
      309     66.6       67.402      0.802 
      310     56.3       54.984     -1.316 
      311     81.9       85.449      3.549 
      312     65.3       71.237      5.937 
      313     72.1       73.436      1.336 
      314     84.4       78.054     -6.346 
      315     96.4       92.936     -3.464 
      316     77.9       71.086     -6.814 
      317     70.2       71.129      0.929 
      318     78         76.255     -1.745 
      319     76         80.967      4.967 
      320     69.1       71.575      2.475 
      321     73.1       71.933     -1.167 
      322     77.64      71.636     -6.004 
      323     83         78.155     -4.845 
      324     72.9       70.64      -2.26  
      325     63.2       59.318     -3.882 
      326     69.1       70.446      1.346 
      327     66         76.18      10.18  
      328     76.9       79.169      2.269 
      329     80.6       74.956     -5.644 
      330     73.8       67.004     -6.796 
      331     59.2       58         -1.2   
      332     76.2       72.427     -3.773 
      333     54.4       55.47       1.07  
      334     75         84.987      9.987 
      335     76.7       76.676     -0.024 
      336     61.1       68.562      7.462 
      337     74.8       68.805     -5.995 
      338     73.1       77.66       4.56  
      339     87.9       80.748     -7.152 
      340     73.7       76.565      2.865 
      341     69.1       70.671      1.571 
      342     88.2       82.999     -5.201 
      343     65.9       72.09       6.19  
      344     60.5       69.169      8.669 
      345     51.2       52.474      1.274 
      346     50.1       49.14      -0.96  
      347     64.08      70.312      6.232 
      348     84.2       74.491     -9.709 
      349     49.2       51.761      2.561 
      350     65.9       66.026      0.126 
      351     77.4       76.712     -0.688 
      352     55.5       58.554      3.054 
      353     75.3       74.035     -1.265 
      354     49.4       53.994      4.594 
      355     65.5       73.058      7.558 
      356     52.6       56.585      3.985 
      357     66.7       68.23       1.53  
      358     62.1       60.568     -1.532 
      359     78.5       74.429     -4.071 
      360     60.8       63.682      2.882 
      361     74.7       78.755      4.055 
      362     53.3       59.251      5.951 
      363     54         55.058      1.058 
      364     77.2       79.396      2.196 
      365     49         53.829      4.829 
      366     62.2       68.293      6.093 
      367     82.8       80.551     -2.249 
      368     52.3       53.24       0.94  
      369     96.2       90.918     -5.282 
      370     56.2       56.896      0.696 
      371     72.2       75.544      3.344 
      372     60.3       64.616      4.316 
      373    114         93.679    -20.321 
      374     93.3       86.49      -6.81  
      375     61.9       64.367      2.467 
      376     86.3       79.757     -6.543 
      377     73.1       70.263     -2.837 
      378     67.1       69.16       2.06  
      379     72.3       70.925     -1.375 
      380     67.4       69.286      1.886 
      381     74.4       79.67       5.27  
      382     69.3       65.727     -3.573 
      383     57.8       61.118      3.318 
      384     60.8       55.685     -5.115 
      385     48.2       51.087      2.887 
      386     59         59.564      0.564 
      387     68.1       59.844     -8.256 
      388     74.6       73.674     -0.926 
      389     65.6       67.967      2.367 
      390     71.6       63.138     -8.462 
      391     68.3       68.782      0.482 
      392     56.5       63.073      6.573 
      393     77         73.346     -3.654 
      394     47         47.613      0.613 
      395     69.38      78.403      9.023 
      396     70.7       71.815      1.115 
      397     63         59.419     -3.581 
      398     67.8       69.399      1.599 
      399     72.7       69.898     -2.802 
      400     93         83.181     -9.819 
      401     69.8       76.624      6.824 
      402     74.7       69.677     -5.023 
      403     71         72.374      1.374 
      404     74.16      81.869      7.709 
      405     78         74.349     -3.651 
      406     78.1       81.098      2.998 
      407     65         69.393      4.393 
      408     56.5       55.635     -0.865 
      409     54.8       59.951      5.151 
      410     80.2       79.033     -1.167 
      411     55.56      58.33       2.77  
      412     96.4       81.701    -14.699 
      413     67.3       76.859      9.559 
      414     50.1       55.474      5.374 
      415     58.8       57.062     -1.738 
      416     82.9       85.101      2.201 
      417     74.5       76.879      2.379 
      418     81.1       83.378      2.278 
      419     76.96      75.35      -1.61  
      420     79         78.515     -0.485 
      421     71.5       71.119     -0.381 
      422     67.1       58.278     -8.822 
      423     66.4       61.33      -5.07  
      424     71.2       67.222     -3.978 
      425     76.6       75.325     -1.275 
      426     81.2       78.87      -2.33  
      427     50.8       55.795      4.995 
      428     76         76.041      0.041 
      429     67.5       73.468      5.968 
      430     78.42      71.708     -6.712 
      431     48.9       53.955      5.055 
      432     90.7       81.888     -8.812 
      433     70.2       72.885      2.685 
      434     70.86      73.638      2.778 
      435     72.82      70.239     -2.581 
      436     87.8       84.751     -3.049 
      437     81.1       75.951     -5.149 
      438     76.7       79.925      3.225 
      439     61         63.327      2.327 
      440     64.3       76.722     12.422 
      441     49.2       48.777     -0.423 
      442     84.8       73.286    -11.514 
      443     68         63.931     -4.069 
      444     51.8       62.589     10.789 
      445     58         61.2        3.2   
      446     81.22      75.107     -6.113 
      447     83.8       77.298     -6.502 
      448     89         85.053     -3.947 
      449     65.1       64.078     -1.022 
      450     79.6       81.277      1.677 
      451     90.5       84.552     -5.948 
      452     56.88      63.961      7.081 
      453     51.5       53.916      2.416 
      454     80         79.919     -0.081 
      455     69.1       79.412     10.312 
      456     54         49.947     -4.053 
      457     69.5       65.623     -3.877 
      458     66.6       67.078      0.478 
      459     59.6       55.319     -4.281 
      460     61.9       65.558      3.658 
      461     69.9       64.472     -5.428 
      462     44.7       51.318      6.618 
      463     84.5       74.082    -10.418 
      464     54.3       57.295      2.995 
      465     57.3       56.263     -1.037 
      466     71.1       74.05       2.95  
      467     70.2       70.489      0.289 
      468     82         74.702     -7.298 
      469     59.1       52.478     -6.622 
      470     63.68      64.554      0.874 
      471     64.2       61.303     -2.897 
      472     46.1       51.551      5.451 
      473     84.2       83.703     -0.497 
      474     64.2       69.67       5.47  
      475     43.2       48.751      5.551 
      476     58.1       57.146     -0.954 
      477     63.4       74.686     11.286 
      478     78         72.775     -5.225 
      479     59.7       59.631     -0.069 
      480     70.7       69.539     -1.161 
      481     61.2       68.714      7.514 
      482     86.8       84.044     -2.756 
      483     49.2       50.967      1.767 
      484     47.5       49.002      1.502 
      485     61.1       69.513      8.413 
      486     63.4       66.141      2.741 
      487     49         51.972      2.972 
      488     70.1       70.36       0.26  
      489     55.6       55.491     -0.109 
      490     91.6       72.1      -19.5   
      491     90.8       82.127     -8.673 
      492     69.2       70.822      1.622 
      493     72.7       77.034      4.334 
      494     64.3       76.924     12.624 
      495     56.8       72.171     15.371 
      496     58.9       63.127      4.227 
      497     51.7       53.933      2.233 
      498     54         51.973     -2.027 
      499     89.8       88.753     -1.047 
      500     58.7       66.345      7.645 
      501     73.6       80.156      6.556 
      502     63.6       69.168      5.568 
      503     55.76      53.846     -1.914 
      504     74.2       74.786      0.586 
      505     54.5       59.518      5.018 
      506     81.1       80.43      -0.67  
      507     65.9       61.35      -4.55  
      508     60.4       56.794     -3.606 
      509     68.5       68.523      0.023 
      510     51.6       50.682     -0.918 
      511     76.5       71.683     -4.817 
      512     57.3       68.415     11.115 
      513     53.9       59.952      6.052 
      514     75.6       69.781     -5.819 
      515     83.7       88.861      5.161 
      516     66.8       72.591      5.791 
      517     61.2       60.433     -0.767 
      518     63.5       59.3       -4.2   
      519     62.9       63.151      0.251 
      520     50.8       54.969      4.169 
      521     82.62      75.505     -7.115 
      522     55.6       50.8       -4.8   
      523     67         61.324     -5.676 
      524     56         57.402      1.402 
      525     57.9       56.963     -0.937 
      526     59.1       62.033      2.933 
      527     52.5       60.256      7.756 
      528     85.3       76.561     -8.739 
      529     70         73.853      3.853 
      530     52.2       57.744      5.544 
      531     74.7       74.415     -0.285 
      532     66.5       66.715      0.215 
      533     49.9       51.682      1.782 
      534     76.7       75.928     -0.772 
      535     58.4       63.308      4.908 
      536     83.5       84.565      1.065 
      537     47.9       49.976      2.076 
      538     51.3       51.418      0.118 
      539     69.26      66.781     -2.479 
      540     70         64.312     -5.688 
      541     81.1       74.52      -6.58  
      542     49.7       51.744      2.044 
      543     72.8       75.245      2.445 
      544     59         59.908      0.908 
      545     55.9       54.644     -1.256 
      546     57.2       69.826     12.626 
      547     64.7       66.128      1.428 
      548     80.7       76.76      -3.94  
      549     92.6       81.852    -10.748 
      550     52.2       53.282      1.082 
      551     49.94      51.849      1.909 
      552     69.2       72.147      2.947 
      553     79.4       79.46       0.06  
      554     67.2       71.963      4.763 
      555     42         46.67       4.67  
      556     59         61.685      2.685 
      557     71.2       70.641     -0.559 
      558     72         72.56       0.56  
      559    135.78     100.85     -34.93  
      560     72.9       65.515     -7.385 
      561     77.9       74.277     -3.623 
      562     53.9       49.762     -4.138 
      563     84.5       84.674      0.174 
      564     67.6       69.565      1.965 
      565     47.9       54.116      6.216 
      566     87         72.743    -14.257 
      567     72.48      86.498     14.018 
      568     64         63.542     -0.458 
      569     52.2       49.469     -2.731 
      570     54.8       56.587      1.787 
      571     76.8       75.658     -1.142 
      572     71         72.462      1.462 
      573     74.7       71.693     -3.007 
      574     65.6       68.957      3.357 
      575     66.4       74.541      8.141 
      576     86.4       82.565     -3.835 
      577     66.5       76.51      10.01  
      578     50.4       49.745     -0.655 
      579     71         64.009     -6.991 
      580     73.4       74.529      1.129 
      581     88         78.891     -9.109 
      582     72.6       75.02       2.42  
      583     75.8       75.166     -0.634 
      584     64.9       61.367     -3.533 
      585     80.6       78.553     -2.047 
      586     62         64.083      2.083 
      587     63.9       64.38       0.48  
      588     62.3       63.221      0.921 
      589     81.4       75.131     -6.269 
      590     77.9       74.122     -3.778 
      591     75.6       74.183     -1.417 
      592     60.5       58.489     -2.011 
      593     70         64.603     -5.397 
      594     83         84.102      1.102 
      595     71.1       72.241      1.141 
      596     76.6       81.629      5.029 
      597     69.54      67.63      -1.91  
      598     66         62.597     -3.403 
      599     63         69.262      6.262 
      600     70.5       73.669      3.169 
      601     56.7       64.264      7.564 
      602     79.5       81.868      2.368 
      603     63.8       68.004      4.204 
      604     59.9       67.559      7.659 
      605     69.5       69.21      -0.29  
      606     83.4       89.567      6.167 
      607     54.3       57.162      2.862 
      608     74.8       75.469      0.669 
      609     78.7       78.893      0.193 
      610     74.6       69.043     -5.557 
      611     66.5       58.513     -7.987 
      612     77.7       77.938      0.238 
      613     48.8       49.809      1.009 
      614     59.9       59.686     -0.214 
      615     74.34      79.562      5.222 
      616     61         61.594      0.594 
      617     57.5       61.692      4.192 
      618     49.8       51.83       2.03  
      619     58.8       60.449      1.649 
      620     83.4       70.294    -13.106 
      621     53.88      47.699     -6.181 
      622     80.6       73.035     -7.565 
      623     57.46      52.014     -5.446 
      624     57.8       60.019      2.219 
      625     72.9       69.775     -3.125 
      626     84         89.186      5.186 
      627     54         56.189      2.189 
      628     81.7       73.995     -7.705 
      629     49.4       51.821      2.421 
      630     51.4       51.391     -0.009 
      631     80.9       82.881      1.981 
      632     47.6       53.33       5.73  
      633     82.8       84.331      1.531 
      634     50.4       55.528      5.128 
      635     63.1       60.844     -2.256 
      636     94.4       90.297     -4.103 
      637     85.1       94.142      9.042 
      638     66         69.465      3.465 
      639     75.3       79.163      3.863 
      640     56.7       65.399      8.699 
      641     62.42      65.105      2.685 
      642     83.3       79.692     -3.608 
      643     50         57.304      7.304 
      644     67.6       65.348     -2.252 
      645     87.2       80.738     -6.462 
      646     60.9       56.807     -4.093 
      647     75.6       75.253     -0.347 
      648     45.7       53.554      7.854 
      649     57.2       52.443     -4.757 
      650     83.4       77.687     -5.713 
      651     68.8       68.14      -0.66  
      652     70         69.801     -0.199 
      653     64.3       62.508     -1.792 
      654     63.7       55.367     -8.333 
      655     57.5       71.344     13.844 
      656     64.8       73.48       8.68  
      657     69         75.229      6.229 
      658     54.46      56.911      2.451 
      659     60.3       58.688     -1.612 
      660     70.1       70.875      0.775 
      661     74.7       76.491      1.791 
      662     63.1       64.41       1.31  
      663     75.8       61.486    -14.314 
      664     52.1       54.057      1.957 
      665     67.5       66.871     -0.629 
      666     80.8       76.002     -4.798 
      667     65.3       52.634    -12.666 
      668     55.1       54.946     -0.154 
      669     49.9       54.561      4.661 
      670     68.3       68.738      0.438 
      671     66.1       66.273      0.173 
      672     79.2       75.637     -3.563 
      673     76.2       80.275      4.075 
      674     45.5       52.36       6.86  
      675     66.72      65.481     -1.239 
      676     69.4       74.302      4.902 
      677     71.92      60.63     -11.29  
      678     72.4       74.506      2.106 
      679     49         51.396      2.396 
      680     66.4       68.397      1.997 
      681     65.4       67.161      1.761 
      682     78.5       76.656     -1.844 
      683     77.4       75.485     -1.915 
      684     62.6       56.478     -6.122 
      685     65.7       62.035     -3.665 
      686     86.4       81.341     -5.059 
      687     57.5       57.039     -0.461 
      688     63.6       59.186     -4.414 
      689     53.5       51.252     -2.248 
      690     64.2       60.518     -3.682 
      691     84.12      76.146     -7.974 
      692     79.7       73.289     -6.411 
      693     54.7       57.214      2.514 
      694     66.9       71.555      4.655 
      695     73.5       73.866      0.366 
      696     74.5       70.871     -3.629 
      697     64.5       60.418     -4.082 
      698     54.9       51.269     -3.631 
      699     60.7       65.267      4.567 
      700     78.3       78.661      0.361 
      701     46.6       51.986      5.386 
      702     63.6       63.678      0.078 
      703     46.6       49.762      3.162 
      704     50.9       54.487      3.587 
      705     75.3       81.854      6.554 
      706     66.7       68.774      2.074 
      707     87.7       78.124     -9.576 
      708     65.3       66.579      1.279 
      709     88.7       84.73      -3.97  
      710     39.9       73.838     33.938 
      711     73.1       73.075     -0.025 
      712     48.3       49.238      0.938 
      713     52.9       53.659      0.759 
      714     65.4       72.758      7.358 
      715     67.4       68.896      1.496 
      716     58.1       58.207      0.107 
      717     55.1       59.811      4.711 
      718     51.8       58.15       6.35  
      719     70.6       77.106      6.506 
      720     95.8       89.067     -6.733 
      721     67.4       70.066      2.666 
      722     73.1       71.958     -1.142 
      723     77.8       81.548      3.748 
      724     83.8       79.369     -4.431 
      725     75         76.117      1.117 
      726     62.5       65.88       3.38  
      727     62.5       68.635      6.135 
      728     75.5       66.139     -9.361 
      729     76.86      85.048      8.188 
      730     87.6       75.266    -12.334 
      731     74.1       74.887      0.787 
      732     75.1       68.13      -6.97  
      733     43.5       51.898      8.398 
      734     64.7       66.454      1.754 
      735     56.2       53.572     -2.628 
      736     65.1       69.17       4.07  
      737     85.4       81.261     -4.139 
      738     57.6       54.793     -2.807 
      739     47.3       53.033      5.733 
      740     60.2       60.058     -0.142 
      741     78.7       81.42       2.72  
      742     81.7       83.379      1.679 
      743     51.3       51.182     -0.118 
      744     63.3       59.402     -3.898 
      745     78.8       79.02       0.22  
      746     50         52.65       2.65  
      747     69.8       76.603      6.803 
      748     82.1       75.513     -6.587 
      749     61.7       65.966      4.266 
      750     84.1       80.551     -3.549 
      751     80.76      73.427     -7.333 
      752     60         62.244      2.244 
      753     70.82      74.204      3.384 
      754     63.8       57.827     -5.973 
      755     74.4       70.693     -3.707 
      756     58.8       60.917      2.117 
      757     53.3       53.352      0.052 
      758     59         64.32       5.32  
      759     76.3       75.909     -0.391 
      760     48.2       50.711      2.511 
      761     46.8       54.273      7.473 
      762     50.32      53.34       3.02  
      763     75.2       75.854      0.654 
      764     55.6       54.75      -0.85  
      765     66         64.924     -1.076 
      766     67.4       68.015      0.615 
      767     89.8       86.91      -2.89  
      768     58.2       53.409     -4.791 
      769     65.1       62.536     -2.564 
      770     60.9       60.132     -0.768 
      771     72         74.766      2.766 
      772     65.8       56.444     -9.356 
